"Velocity:0","Velocity:1","Pressure","Points:0","Points:1","Points:2"
1.7509,0.56891,-1.2577,-0.15451,0.47553,0
1.2967,0.82293,-0.86396,0.26791,-0.42216,0
1.676,0.66358,-1.1782,-0.18406,0.46489,0
1.4104,0.77539,-0.97582,0.24088,-0.43815,0
1.5889,0.74767,-1.0854,-0.21289,0.45241,0
1.516,0.71339,-1.075,0.21289,-0.45241,0
1.4917,0.82006,-0.98361,-0.24088,0.43815,0
1.6129,0.63859,-1.1678,0.18406,-0.46489,0
1.3869,0.88014,-0.87552,-0.26791,0.42216,0
1.698,0.55172,-1.2506,0.15451,-0.47553,0
1.2749,0.92629,-0.76031,-0.29389,0.40451,0
1.7715,0.45485,-1.3163,0.12434,-0.48429,0
1.1574,0.95751,-0.63942,-0.31871,0.38526,0
1.8303,0.34914,-1.3712,0.093691,-0.49114,0
1.0372,0.97395,-0.51821,-0.34227,0.36448,0
1.8748,0.23684,-1.4131,0.062667,-0.49606,0
0.91557,0.97498,-0.39449,-0.36448,0.34227,0
1.9035,0.11976,-1.432,0.031395,-0.49901,0
0.79445,0.96033,-0.27362,-0.38526,0.31871,0
1.9186,-6.6983e-07,-1.4474,-3.7781e-16,-0.5,0
0.67629,0.93083,-0.15594,-0.40451,0.29389,0
1.9143,-0.12044,-1.4452,-0.031395,-0.49901,0
0.56266,0.88661,-0.04428,-0.42216,0.26791,0
1.896,-0.23952,-1.4179,-0.062667,-0.49606,0
0.45503,0.82769,0.063007,-0.43815,0.24088,0
1.8624,-0.35526,-1.3764,-0.093691,-0.49114,0
0.35546,0.7554,0.16004,-0.45241,0.21289,0
1.8134,-0.46561,-1.3273,-0.12434,-0.48429,0
0.26602,0.67189,0.24626,-0.46489,0.18406,0
1.7514,-0.56907,-1.2586,-0.15451,-0.47553,0
0.18756,0.57726,0.3236,-0.47553,0.15451,0
1.6765,-0.66376,-1.1762,-0.18406,-0.46489,0
0.12102,0.47134,0.38721,-0.48429,0.12434,0
1.5895,-0.74798,-1.0876,-0.21289,-0.45241,0
0.068984,0.36164,0.43783,-0.49114,0.093691,0
1.4931,-0.82083,-0.98617,-0.24088,-0.43815,0
0.030769,0.24357,0.47411,-0.49606,0.062667,0
1.3871,-0.8803,-0.87415,-0.26791,-0.42216,0
0.007678,0.12208,0.49767,-0.49901,0.031395,0
1.2751,-0.92642,-0.76093,-0.29389,-0.40451,0
-1.1973e-06,0.0023009,0.50439,-0.5,-7.6189e-16,0
1.1575,-0.95758,-0.64204,-0.31871,-0.38526,0
0.0075617,-0.12023,0.49734,-0.49901,-0.031395,0
1.0372,-0.97398,-0.51659,-0.34227,-0.36448,0
0.030761,-0.24351,0.47468,-0.49606,-0.062667,0
0.9157,-0.97512,-0.3951,-0.36448,-0.34227,0
0.069072,-0.3621,0.43775,-0.49114,-0.093691,0
0.79447,-0.96035,-0.27614,-0.38526,-0.31871,0
0.12145,-0.47304,0.38813,-0.48429,-0.12434,0
0.6767,-0.93139,-0.15422,-0.40451,-0.29389,0
0.18787,-0.57821,0.32331,-0.47553,-0.15451,0
0.56244,-0.88627,-0.042407,-0.42216,-0.26791,0
0.26616,-0.67225,0.24768,-0.46489,-0.18406,0
0.45514,-0.8279,0.062761,-0.43815,-0.24088,0
0.35566,-0.75582,0.16126,-0.45241,-0.21289,0
